YEAR,STATE_CODE,race,MEM_,OSS_,pct_
1974,CA,BL,395860,33450,8
1974,CA,HI,604285,27310,5
1974,CA,HP,0,0,
1974,CA,MR,0,0,
1974,CA,WH,2045680,93420,5
1974,CA,total,3183395,156315,5
1974,CO,AI,1810,55,3
1974,CO,AS,2830,35,1
1974,CO,BL,20105,3010,15
1974,CO,HI,54860,3915,7
1974,CO,HP,0,0,
1974,CO,MR,0,0,
1974,CO,WH,309030,9510,3
1974,CO,total,388635,16530,4
1974,CT,AI,195,20,10
1974,CT,AS,835,5,1
1974,CT,BL,50255,5415,11
1974,CT,HI,21530,1465,7
1974,CT,HP,0,0,
1974,CT,MR,0,0,
1974,CT,WH,174275,8745,5
1974,CT,total,247095,15650,6
1974,DC,AI,25,0,
1974,DC,AS,595,0,
1974,DC,BL,125065,3980,3
1974,DC,HI,975,5,1
1974,DC,HP,0,0,
1974,DC,MR,0,0,
1974,DC,WH,4265,75,2
1974,DC,total,130925,4060,3
1974,DE,AI,75,0,
1974,DE,AS,120,0,
1974,DE,BL,18900,1745,9
1974,DE,HI,970,50,5
1974,DE,HP,0,0,
1974,DE,MR,0,0,
1974,DE,WH,42480,2555,6
1974,DE,total,62540,4350,7
1974,FL,AI,2650,45,2
1974,FL,AS,4355,65,1
1974,FL,BL,344655,34780,10
1974,FL,HI,97905,1775,2
1974,FL,HP,0,0,
1974,FL,MR,0,0,
1974,FL,WH,1066175,40910,4
1974,FL,total,1515740,77575,5
1974,GA,AI,625,20,3
1974,GA,AS,1700,20,1
1974,GA,BL,360310,20830,6
1974,GA,HI,1605,50,3
1974,GA,HP,0,0,
1974,GA,MR,0,0,
1974,GA,WH,617640,19915,3
1974,GA,total,981880,40830,4
1974,IA,AI,485,15,3
1974,IA,AS,370,0,
1974,IA,BL,9080,960,11
1974,IA,HI,1375,40,3
1974,IA,HP,0,0,
1974,IA,MR,0,0,
1974,IA,WH,143185,3800,3
1974,IA,total,154495,4815,3
1974,ID,AI,1290,25,2
1974,ID,AS,440,0,
